Rank	Title	Year	Director	Cast 1	Cast 2	Cast 3	Cast 4	Cast 5
212	My Big Fat Greek Wedding	2002	Joel Zwick	Nia Vardalos	Michael Constantine	Christina Eleusiniotis	Kaylee Vieira	John Kalangis
213	My Neighbor Totoro	1988	Hayao Miyazaki	Toshiyuki Amagasa	Paul Butcher	Pat Carroll	Cheryl Chase	Shigeru Chiba
214	Mystic River	2003	Clint Eastwood	Sean Penn	Tim Robbins	Kevin Bacon	Laurence Fishburne	Marcia Gay Harden
215	National Treasure	2004	Jon Turteltaub	Nicolas Cage	Diane Kruger	Justin Bartha	Sean Bean	Jon Voight
216	National Treasure: Book of Secrets	2007	Jon Turteltaub	Nicolas Cage	Justin Bartha	Diane Kruger	Jon Voight	Helen Mirren
217	Nausicaä of the Valley of the Wind	1984	Hayao Miyazaki	Sumi Shimamoto	Mahito Tsujimura	Hisako Kyôda	Gorô Naya	Ichirô Nagai
218	Network	1976	Sidney Lumet	Faye Dunaway	William Holden	Peter Finch	Robert Duvall	Wesley Addy
219	Night at the Museum	2006	Shawn Levy	Ben Stiller	Carla Gugino	Dick Van Dyke	Mickey Rooney	Bill Cobbs
220	Night at the Museum: Battle of the Smithsonian	2009	Shawn Levy	Ben Stiller	Amy Adams	Owen Wilson	Hank Azaria	Robin Williams
221	No Country for Old Men	2007	Ethan Coen	Tommy Lee Jones	Javier Bardem	Josh Brolin	Woody Harrelson	Kelly Macdonald
222	North by Northwest	1959	Alfred Hitchcock	Cary Grant	Eva Marie Saint	James Mason	Jessie Royce Landis	Leo G. Carroll
223	Notorious	1946	Alfred Hitchcock	Cary Grant	Ingrid Bergman	Claude Rains	Louis Calhern	Leopoldine Konstantin
224	Ocean's Eleven	2001	Steven Soderbergh	George Clooney	Cecelia Ann Birt	Paul L. Nolan	Carol Florence	Lori Galinski
225	Oldboy	2003	Chan-wook Park	Min-sik Choi	Ji-tae Yu	Hye-jeong Kang	Dae-han Ji	Dal-su Oh
226	On the Waterfront	1954	Elia Kazan	Marlon Brando	Karl Malden	Lee J. Cobb	Rod Steiger	Pat Henning
227	Once Upon a Time in America	1984	Sergio Leone	Robert De Niro	James Woods	Elizabeth McGovern	Joe Pesci	Burt Young
228	Once Upon a Time in the West	1968	Sergio Leone	Claudia Cardinale	Henry Fonda	Jason Robards	Charles Bronson	Gabriele Ferzetti
229	One Flew Over the Cuckoo's Nest	1975	Milos Forman	Michael Berryman	Peter Brocco	Dean R. Brooks	Alonzo Brown	Scatman Crothers
230	Over the Hedge	2006	Tim Johnson	Bruce Willis	Garry Shandling	Steve Carell	Wanda Sykes	William Shatner
231	Oz the Great and Powerful	2013	Sam Raimi	James Franco	Mila Kunis	Rachel Weisz	Michelle Williams	Zach Braff
232	Pan's Labyrinth	2006	Guillermo del Toro	Ivana Baquero	Sergi López	Maribel Verdú	Doug Jones	Ariadna Gil
233	Papillon	1973	Franklin J. Schaffner	Steve McQueen	Dustin Hoffman	Victor Jory	Don Gordon	Anthony Zerbe
234	Paths of Glory	1957	Stanley Kubrick	Kirk Douglas	Ralph Meeker	Adolphe Menjou	George Macready	Wayne Morris
235	Pearl Harbor	2001	Michael Bay	Ben Affleck	Josh Hartnett	Kate Beckinsale	William Lee Scott	Greg Zola
236	Persona	1966	Ingmar Bergman	Bibi Andersson	Liv Ullmann	Margaretha Krook	Gunnar Björnstrand	Svensk Filmindustri (SF)
237	Pirates of the Caribbean: At World's End	2007	Gore Verbinski	Johnny Depp	Geoffrey Rush	Orlando Bloom	Keira Knightley	Jack Davenport
238	Pirates of the Caribbean: Dead Man's Chest	2006	Gore Verbinski	Johnny Depp	Orlando Bloom	Keira Knightley	Jack Davenport	Bill Nighy
239	Pirates of the Caribbean: On Stranger Tides	2011	Rob Marshall	Johnny Depp	Penélope Cruz	Geoffrey Rush	Ian McShane	Kevin McNally
240	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Gore Verbinski	Johnny Depp	Geoffrey Rush	Orlando Bloom	Keira Knightley	Jack Davenport
241	Planet of the Apes	2001	Tim Burton	Mark Wahlberg	Tim Roth	Helena Bonham Carter	Michael Clarke Duncan	Paul Giamatti
242	Platoon	1986	Oliver Stone	Keith David	Forest Whitaker	Francesco Quinn	Kevin Dillon	John C. McGinley
243	Pretty Woman	1990	Garry Marshall	Richard Gere	Julia Roberts	Ralph Bellamy	Jason Alexander	Laura San Giacomo
244	Princess Mononoke	1997	Hayao Miyazaki	Billy Crudup	Billy Bob Thornton	Minnie Driver	John DiMaggio	Claire Danes
245	Psycho	1960	Alfred Hitchcock	Anthony Perkins	Vera Miles	John Gavin	Janet Leigh	Martin Balsam
246	Pulp Fiction	1994	Quentin Tarantino	Tim Roth	Amanda Plummer	Laura Lovelace	John Travolta	Samuel L. Jackson
247	Puss in Boots	2011	Chris Miller	Antonio Banderas	Salma Hayek	Zach Galifianakis	Billy Bob Thornton	Amy Sedaris
248	Quantum of Solace	2008	Marc Forster	Daniel Craig	Olga Kurylenko	Mathieu Amalric	Judi Dench	Giancarlo Giannini
249	Raging Bull	1980	Martin Scorsese	Robert De Niro	Cathy Moriarty	Joe Pesci	Frank Vincent	Nicholas Colasanto
250	Raiders of the Lost Ark	1981	Steven Spielberg	Harrison Ford	Karen Allen	Paul Freeman	Ronald Lacey	John Rhys-Davies
251	Rain Man	1988	Barry Levinson	Dustin Hoffman	Tom Cruise	Valeria Golino	Gerald R. Molen	Jack Murdock
252	Rambo: First Blood Part II	1985	George P. Cosmatos	Sylvester Stallone	Richard Crenna	Charles Napier	Steven Berkoff	Julia Nickson
253	Ran	1985	Akira Kurosawa	Tatsuya Nakadai	Akira Terao	Jinpachi Nezu	Daisuke Ryû	Mieko Harada
254	Rashomon	1950	Akira Kurosawa	Toshirô Mifune	Machiko Kyô	Masayuki Mori	Takashi Shimura	Minoru Chiaki
255	Ratatouille	2007	Brad Bird	Patton Oswalt	Ian Holm	Lou Romano	Brian Dennehy	Peter Sohn
256	Rear Window	1954	Alfred Hitchcock	James Stewart	Grace Kelly	Wendell Corey	Thelma Ritter	Raymond Burr
257	Rebecca	1940	Alfred Hitchcock	Laurence Olivier	Joan Fontaine	George Sanders	Judith Anderson	Nigel Bruce
258	Requiem for a Dream	2000	Darren Aronofsky	Ellen Burstyn	Jared Leto	Jennifer Connelly	Marlon Wayans	Christopher McDonald
259	Reservoir Dogs	1992	Quentin Tarantino	Harvey Keitel	Tim Roth	Michael Madsen	Chris Penn	Steve Buscemi
260	Rise of the Planet of the Apes	2011	Rupert Wyatt	Andy Serkis	Karin Konoval	Terry Notary	Richard Ridings	Christopher Gordon
261	Robin Hood: Prince of Thieves	1991	Kevin Reynolds	Kevin Costner	Morgan Freeman	Mary Elizabeth Mastrantonio	Christian Slater	Alan Rickman
262	Rocky	1976	John G. Avildsen	Sylvester Stallone	Talia Shire	Burt Young	Carl Weathers	Burgess Meredith
263	Roman Holiday	1953	William Wyler	Gregory Peck	Audrey Hepburn	Eddie Albert	Hartley Power	Harcourt Williams
264	Rope	1948	Alfred Hitchcock	Dick Hogan	John Dall	Farley Granger	Edith Evanson	Douglas Dick
265	Rosemary's Baby	1968	Roman Polanski	Mia Farrow	John Cassavetes	Ruth Gordon	Sidney Blackmer	Maurice Evans
266	Runaway Bride	1999	Garry Marshall	Julia Roberts	Richard Gere	Joan Cusack	Hector Elizondo	Rita Wilson
267	Rush	2013	Ron Howard	Chris Hemsworth	Daniel Brühl	Olivia Wilde	Alexandra Maria Lara	Pierfrancesco Favino
268	Rush Hour 2	2001	Brett Ratner	Jackie Chan	Chris Tucker	John Lone	Ziyi Zhang	Roselyn Sanchez
269	Saving Private Ryan	1998	Steven Spielberg	Tom Hanks	Tom Sizemore	Edward Burns	Barry Pepper	Adam Goldberg
270	Scarface	1983	Brian De Palma	Al Pacino	Steven Bauer	Michelle Pfeiffer	Mary Elizabeth Mastrantonio	Robert Loggia
271	Scary Movie	2000	Keenen Ivory Wayans	Carmen Electra	Dave Sheridan	Frank B. Moore	Giacomo Baessato	Kyle Graham
272	Schindler's List	1993	Steven Spielberg	Liam Neeson	Ben Kingsley	Ralph Fiennes	Caroline Goodall	Jonathan Sagall
273	Scooby-Doo	2002	Raja Gosnell	Freddie Prinze Jr.	Sarah Michelle Gellar	Matthew Lillard	Linda Cardellini	Rowan Atkinson
274	Se7en	1995	David Fincher	Morgan Freeman	Andrew Kevin Walker	Daniel Zacapa	Brad Pitt	Gwyneth Paltrow
275	Seven Samurai	1954	Akira Kurosawa	Toshirô Mifune	Takashi Shimura	Keiko Tsushima	Yukiko Shimazaki	Kamatari Fujiwara
276	Sex and the City	2008	Michael Patrick King	Sarah Jessica Parker	Kim Cattrall	Kristin Davis	Cynthia Nixon	Chris Noth
277	Shark Tale	2004	Bibo Bergeron	Will Smith	Robert De Niro	Renée Zellweger	Jack Black	Angelina Jolie
278	Sherlock Holmes	2009	Guy Ritchie	Robert Downey Jr.	Jude Law	Rachel McAdams	Mark Strong	Eddie Marsan
279	Sherlock Holmes: A Game of Shadows	2011	Guy Ritchie	Robert Downey Jr.	Jude Law	Noomi Rapace	Rachel McAdams	Jared Harris
280	Shrek	2001	Andrew Adamson	Mike Myers	Eddie Murphy	Cameron Diaz	John Lithgow	Vincent Cassel
281	Shrek 2	2004	Andrew Adamson	Mike Myers	Eddie Murphy	Cameron Diaz	Julie Andrews	Antonio Banderas
282	Shrek Forever After	2010	Mike Mitchell	Mike Myers	Eddie Murphy	Cameron Diaz	Antonio Banderas	Julie Andrews
283	Shrek the Third	2007	Chris Miller	Mike Myers	Eddie Murphy	Cameron Diaz	Antonio Banderas	Julie Andrews
284	Shutter Island	2010	Martin Scorsese	Leonardo DiCaprio	Mark Ruffalo	Ben Kingsley	Max von Sydow	Michelle Williams
285	Signs	2002	M. Night Shyamalan	Mel Gibson	Joaquin Phoenix	Rory Culkin	Abigail Breslin	Cherry Jones
286	Sin City	2005	Frank Miller	Jessica Alba	Devon Aoki	Alexis Bledel	Powers Boothe	Cara D. Briggs
287	Singin' in the Rain	1952	Stanley Donen	Gene Kelly	Donald O'Connor	Debbie Reynolds	Jean Hagen	Millard Mitchell
288	Skyfall	2012	Sam Mendes	Daniel Craig	Judi Dench	Javier Bardem	Ralph Fiennes	Naomie Harris
289	Sleuth	1972	Joseph L. Mankiewicz	Laurence Olivier	Michael Caine	Alec Cawthorne	John Matthews	Eve Channing
290	Slumdog Millionaire	2008	Danny Boyle	Dev Patel	Saurabh Shukla	Anil Kapoor	Rajendranath Zutshi	Jeneva Talwar
291	Snatch.	2000	Guy Ritchie	Benicio Del Toro	Dennis Farina	Vinnie Jones	Brad Pitt	Rade Serbedzija
292	Snow White and the Huntsman	2012	Rupert Sanders	Kristen Stewart	Chris Hemsworth	Charlize Theron	Sam Claflin	Sam Spruell
293	Snow White and the Seven Dwarfs	1937	William Cottrell	Roy Atwell	Stuart Buchanan	Adriana Caselotti	Hall Johnson Choir	Eddie Collins
294	Some Like It Hot	1959	Billy Wilder	Marilyn Monroe	Tony Curtis	Jack Lemmon	George Raft	Pat O'Brien
295	Spider-Man	2002	Sam Raimi	Tobey Maguire	Willem Dafoe	Kirsten Dunst	James Franco	Cliff Robertson
296	Spider-Man 2	2004	Sam Raimi	Tobey Maguire	Kirsten Dunst	James Franco	Alfred Molina	Rosemary Harris
297	Spider-Man 3	2007	Sam Raimi	Tobey Maguire	Kirsten Dunst	James Franco	Thomas Haden Church	Topher Grace
298	Spirited Away	2001	Hayao Miyazaki	Daveigh Chase	Suzanne Pleshette	Susan Egan	David Ogden Stiers	Lauren Holly
299	Stalag 17	1953	Billy Wilder	William Holden	Don Taylor	Otto Preminger	Robert Strauss	Harvey Lembeck
300	Stalker	1979	Andrei Tarkovsky	Alisa Freyndlikh	Aleksandr Kaydanovskiy	Anatoliy Solonitsyn	Nikolay Grinko	Natalya Abramova
301	Stand by Me	1986	Rob Reiner	Wil Wheaton	River Phoenix	Corey Feldman	Jerry O'Connell	Kiefer Sutherland
302	Star Trek	2009	J.J. Abrams	Chris Pine	Zachary Quinto	Leonard Nimoy	Eric Bana	Bruce Greenwood
303	Star Trek Into Darkness	2013	J.J. Abrams	Chris Pine	Zachary Quinto	Zoe Saldana	Karl Urban	Simon Pegg
304	Star Wars	1977	George Lucas	Mark Hamill	Harrison Ford	Carrie Fisher	Peter Cushing	Alec Guinness
305	Star Wars: Episode I - The Phantom Menace	1999	George Lucas	Liam Neeson	Ewan McGregor	Natalie Portman	Jake Lloyd	Ian McDiarmid
306	Star Wars: Episode II - Attack of the Clones	2002	George Lucas	Ewan McGregor	Natalie Portman	Hayden Christensen	Christopher Lee	Samuel L. Jackson
307	Star Wars: Episode III - Revenge of the Sith	2005	George Lucas	Ewan McGregor	Natalie Portman	Hayden Christensen	Ian McDiarmid	Samuel L. Jackson
308	Star Wars: Episode IV - A New Hope	1977	George Lucas	Mark Hamill	Harrison Ford	Carrie Fisher	Peter Cushing	Alec Guinness
309	Star Wars: Episode V - The Empire Strikes Back	1980	Irvin Kershner	Mark Hamill	Harrison Ford	Carrie Fisher	Billy Dee Williams	Anthony Daniels
310	Star Wars: Episode VI - Return of the Jedi	1983	Richard Marquand	Mark Hamill	Harrison Ford	Carrie Fisher	Billy Dee Williams	Anthony Daniels
311	Strangers on a Train	1951	Alfred Hitchcock	Farley Granger	Ruth Roman	Robert Walker	Leo G. Carroll	Patricia Hitchcock
312	Sunset Blvd.	1950	Billy Wilder	William Holden	Gloria Swanson	Erich von Stroheim	Nancy Olson	Fred Clark
313	Superman Returns	2006	Bryan Singer	Brandon Routh	Kate Bosworth	Kevin Spacey	James Marsden	Parker Posey
314	TRON: Legacy	2010	Joseph Kosinski	Jeff Bridges	Garrett Hedlund	Olivia Wilde	Bruce Boxleitner	James Frain
315	Tangled	2010	Nathan Greno	Mandy Moore	Zachary Levi	Donna Murphy	Ron Perlman	M.C. Gainey
316	Tarzan	1999	Chris Buck	Brian Blessed	Glenn Close	Minnie Driver	Tony Goldwyn	Nigel Hawthorne
317	Taxi Driver	1976	Martin Scorsese	Diahnne Abbott	Frank Adu	Victor Argo	Gino Ardito	Garth Avery
318	Ted	2012	Seth MacFarlane	Mark Wahlberg	Mila Kunis	Seth MacFarlane	Joel McHale	Giovanni Ribisi
319	Terminator 2: Judgment Day	1991	James Cameron	Arnold Schwarzenegger	Linda Hamilton	Edward Furlong	Robert Patrick	Earl Boen
320	Terminator 3: Rise of the Machines	2003	Jonathan Mostow	Arnold Schwarzenegger	Nick Stahl	Claire Danes	Kristanna Loken	David Andrews
321	The 400 Blows	1959	François Truffaut	Jean-Pierre Léaud	Claire Maurier	Albert Rémy	Guy Decomble	Georges Flamant
322	The Amazing Spider-Man	2012	Marc Webb	Andrew Garfield	Emma Stone	Rhys Ifans	Denis Leary	Martin Sheen
323	The Apartment	1960	Billy Wilder	Jack Lemmon	Shirley MacLaine	Fred MacMurray	Ray Walston	Jack Kruschen
324	The Artist	2011	Michel Hazanavicius	Jean Dujardin	Bérénice Bejo	John Goodman	James Cromwell	Penelope Ann Miller
325	The Avengers	2012	Joss Whedon	Robert Downey Jr.	Chris Evans	Mark Ruffalo	Chris Hemsworth	Scarlett Johansson
326	The Best Years of Our Lives	1946	William Wyler	Myrna Loy	Fredric March	Dana Andrews	Teresa Wright	Virginia Mayo
327	The Big Lebowski	1998	Joel Coen	Jeff Bridges	John Goodman	Julianne Moore	Steve Buscemi	David Huddleston
328	The Big Sleep	1946	Howard Hawks	Humphrey Bogart	Lauren Bacall	John Ridgely	Martha Vickers	Dorothy Malone
329	The Blind Side	2009	John Lee Hancock	Sandra Bullock	Tim McGraw	Quinton Aaron	Jae Head	Lily Collins
330	The Bourne Supremacy	2004	Paul Greengrass	Matt Damon	Franka Potente	Brian Cox	Julia Stiles	Karl Urban
331	The Bourne Ultimatum	2007	Paul Greengrass	Matt Damon	Julia Stiles	David Strathairn	Scott Glenn	Paddy Considine
332	The Bridge on the River Kwai	1957	David Lean	William Holden	Alec Guinness	Jack Hawkins	Sessue Hayakawa	James Donald
333	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	Andrew Adamson	Georgie Henley	Skandar Keynes	William Moseley	Anna Popplewell	Tilda Swinton
334	The Croods	2013	Kirk De Micco	Nicolas Cage	Emma Stone	Ryan Reynolds	Catherine Keener	Cloris Leachman
335	The Da Vinci Code	2006	Ron Howard	Tom Hanks	Audrey Tautou	Ian McKellen	Jean Reno	Paul Bettany
336	The Dark Knight	2008	Christopher Nolan	Christian Bale	Heath Ledger	Aaron Eckhart	Michael Caine	Maggie Gyllenhaal
337	The Dark Knight Rises	2012	Christopher Nolan	Christian Bale	Gary Oldman	Tom Hardy	Joseph Gordon-Levitt	Anne Hathaway
338	The Day After Tomorrow	2004	Roland Emmerich	Dennis Quaid	Jake Gyllenhaal	Emmy Rossum	Dash Mihok	Jay O. Sanders
339	The Deer Hunter	1978	Michael Cimino	Robert De Niro	John Cazale	John Savage	Christopher Walken	Meryl Streep
340	The Departed	2006	Martin Scorsese	Leonardo DiCaprio	Matt Damon	Jack Nicholson	Mark Wahlberg	Martin Sheen
341	The Diving Bell and the Butterfly	2007	Julian Schnabel	Mathieu Amalric	Emmanuelle Seigner	Marie-Josée Croze	Anne Consigny	Patrick Chesnais
342	The Elephant Man	1980	David Lynch	Anthony Hopkins	John Hurt	Anne Bancroft	John Gielgud	Wendy Hiller
343	The Exorcist	1973	William Friedkin	Ellen Burstyn	Max von Sydow	Lee J. Cobb	Kitty Winn	Jack MacGowran
344	The Firm	1993	Sydney Pollack	Tom Cruise	Jeanne Tripplehorn	Gene Hackman	Hal Holbrook	Terry Kinney
345	The Fugitive	1993	Andrew Davis	Harrison Ford	Tommy Lee Jones	Sela Ward	Julianne Moore	Joe Pantoliano
346	The General	1926	Clyde Bruckman	Buster Keaton	Marion Mack	Glen Cavender	Jim Farley	Frederick Vroom
347	The Godfather	1972	Francis Ford Coppola	Marlon Brando	Al Pacino	James Caan	Richard S. Castellano	Robert Duvall
348	The Godfather: Part II	1974	Francis Ford Coppola	Al Pacino	Robert Duvall	Diane Keaton	Robert De Niro	John Cazale
349	The Gold Rush	1925	Charles Chaplin	Charles Chaplin	Mack Swain	Tom Murray	Henry Bergman	Malcolm Waite
350	The Good, the Bad and the Ugly	1966	Sergio Leone	Eli Wallach	Clint Eastwood	Lee Van Cleef	Aldo Giuffrè	Luigi Pistilli
351	The Graduate	1967	Mike Nichols	Anne Bancroft	Dustin Hoffman	Katharine Ross	William Daniels	Murray Hamilton
352	The Grapes of Wrath	1940	John Ford	Henry Fonda	Jane Darwell	John Carradine	Charley Grapewin	Dorris Bowdon
353	The Great Dictator	1940	Charles Chaplin	Charles Chaplin	Jack Oakie	Reginald Gardiner	Henry Daniell	Billy Gilbert
354	The Great Escape	1963	John Sturges	Steve McQueen	James Garner	Richard Attenborough	James Donald	Charles Bronson
355	The Green Mile	1999	Frank Darabont	Tom Hanks	David Morse	Michael Clarke Duncan	Bonnie Hunt	James Cromwell
356	The Hangover	2009	Todd Phillips	Bradley Cooper	Ed Helms	Zach Galifianakis	Justin Bartha	Heather Graham
357	The Hangover Part II	2011	Todd Phillips	Bradley Cooper	Ed Helms	Zach Galifianakis	Justin Bartha	Ken Jeong
358	The Heat	2013	Paul Feig	Sandra Bullock	Melissa McCarthy	Demian Bichir	Marlon Wayans	Michael Rapaport
359	The Help	2011	Tate Taylor	Emma Stone	Viola Davis	Bryce Dallas Howard	Octavia Spencer	Jessica Chastain
360	The Hobbit: An Unexpected Journey	2012	Peter Jackson	Ian McKellen	Martin Freeman	Richard Armitage	Ken Stott	Graham McTavish
361	The Hunger Games	2012	Gary Ross	Stanley Tucci	Wes Bentley	Jennifer Lawrence	Willow Shields	Liam Hemsworth
362	The Hunt	2012	Thomas Vinterberg	Mads Mikkelsen	Thomas Bo Larsen	Annika Wedderkopp	Lasse Fogelstrøm	Susse Wold
363	The Hustler	1961	Robert Rossen	Paul Newman	Jackie Gleason	Piper Laurie	George C. Scott	Myron McCormick
364	The Incredibles	2004	Brad Bird	Craig T. Nelson	Holly Hunter	Samuel L. Jackson	Jason Lee	Dominique Louis
365	The Intouchables	2011	Olivier Nakache	François Cluzet	Omar Sy	Anne Le Ny	Audrey Fleurot	Joséphine de Meaux
366	The Karate Kid	2010	Harald Zwart	Jaden Smith	Jackie Chan	Taraji P. Henson	Wenwen Han	Rongguang Yu
367	The Kid	1921	Charles Chaplin	Carl Miller	Edna Purviance	Jackie Coogan	Charles Chaplin	Charles Chaplin Productions
368	The Killing	1956	Stanley Kubrick	Sterling Hayden	Coleen Gray	Vince Edwards	Jay C. Flippen	Ted de Corsia
369	The King's Speech	2010	Tom Hooper	Colin Firth	Helena Bonham Carter	Derek Jacobi	Robert Portal	Richard Dixon
370	The Lion King	1994	Roger Allers	Jonathan Taylor Thomas	Matthew Broderick	James Earl Jones	Jeremy Irons	Moira Kelly
371	The Lives of Others	2006	Florian Henckel von Donnersmarck	Martina Gedeck	Ulrich Mühe	Sebastian Koch	Ulrich Tukur	Thomas Thieme
372	The Longest Yard	2005	Peter Segal	Adam Sandler	Chris Rock	Burt Reynolds	Nelly	Michael Irvin
373	The Lorax	2012	Chris Renaud	Danny DeVito	Ed Helms	Zac Efron	Taylor Swift	Betty White
374	The Lord of the Rings: The Fellowship of the Ring	2001	Peter Jackson	Alan Howard	Elijah Wood	Noel Appleby	Sean Astin	Sala Baker
375	The Lord of the Rings: The Return of the King	2003	Peter Jackson	Noel Appleby	Alexandra Astin	Sean Astin	David Aston	John Bach
376	The Lord of the Rings: The Two Towers	2002	Peter Jackson	Bruce Allpress	Sean Astin	John Bach	Sala Baker	Cate Blanchett
377	The Lost World: Jurassic Park	1997	Steven Spielberg	Jeff Goldblum	Julianne Moore	Pete Postlethwaite	Arliss Howard	Richard Attenborough
378	The Maltese Falcon	1941	John Huston	Humphrey Bogart	Mary Astor	Gladys George	Peter Lorre	Barton MacLane
379	The Man Who Shot Liberty Valance	1962	John Ford	John Wayne	James Stewart	Vera Miles	Lee Marvin	Edmond O'Brien
380	The Manchurian Candidate	1962	John Frankenheimer	Frank Sinatra	Laurence Harvey	Janet Leigh	Angela Lansbury	Henry Silva
381	The Matrix	1999	Andy Wachowski	Keanu Reeves	Laurence Fishburne	Carrie-Anne Moss	Hugo Weaving	Gloria Foster
382	The Matrix Reloaded	2003	Andy Wachowski	Ray Anthony	Christine Anu	Andy Arness	Alima Ashton-Sheibu	Helmut Bakaitis
383	The Mummy	1999	Stephen Sommers	Brendan Fraser	Rachel Weisz	John Hannah	Arnold Vosloo	Kevin J. O'Connor
384	The Mummy Returns	2001	Stephen Sommers	Brendan Fraser	Rachel Weisz	John Hannah	Arnold Vosloo	Oded Fehr
385	The Night of the Hunter	1955	Charles Laughton	Robert Mitchum	Shelley Winters	Lillian Gish	James Gleason	Evelyn Varden
386	The Passion of the Christ	2004	Mel Gibson	Jim Caviezel	Maia Morgenstern	Christo Jivkov	Francesco De Vito	Monica Bellucci
387	The Perfect Storm	2000	Wolfgang Petersen	George Clooney	Mark Wahlberg	Diane Lane	John C. Reilly	William Fichtner
388	The Pianist	2002	Roman Polanski	Adrien Brody	Emilia Fox	Michal Zebrowski	Ed Stoppard	Maureen Lipman
389	The Polar Express	2004	Robert Zemeckis	Tom Hanks	Leslie Zemeckis	Eddie Deezen	Nona Gaye	Peter Scolari
390	The Prestige	2006	Christopher Nolan	Hugh Jackman	Christian Bale	Michael Caine	Piper Perabo	Rebecca Hall
391	The Princess Bride	1987	Rob Reiner	Cary Elwes	Mandy Patinkin	Chris Sarandon	Christopher Guest	Wallace Shawn
392	The Proposal	2009	Anne Fletcher	Sandra Bullock	Ryan Reynolds	Mary Steenburgen	Craig T. Nelson	Betty White
393	The Pursuit of Happyness	2006	Gabriele Muccino	Will Smith	Jaden Smith	Thandie Newton	Brian Howe	James Karen
394	The Secret in Their Eyes	2009	Juan José Campanella	Soledad Villamil	Ricardo Darín	Carla Quevedo	Pablo Rago	Javier Godino
395	The Seventh Seal	1957	Ingmar Bergman	Gunnar Björnstrand	Bengt Ekerot	Nils Poppe	Max von Sydow	Bibi Andersson
396	The Shawshank Redemption	1994	Frank Darabont	Tim Robbins	Morgan Freeman	Bob Gunton	William Sadler	Clancy Brown
397	The Shining	1980	Stanley Kubrick	Jack Nicholson	Shelley Duvall	Danny Lloyd	Scatman Crothers	Barry Nelson
398	The Silence of the Lambs	1991	Jonathan Demme	Jodie Foster	Lawrence A. Bonney	Kasi Lemmons	Lawrence T. Wrentz	Scott Glenn
399	The Simpsons Movie	2007	David Silverman	Dan Castellaneta	Julie Kavner	Nancy Cartwright	Yeardley Smith	Hank Azaria
400	The Sixth Sense	1999	M. Night Shyamalan	Bruce Willis	Haley Joel Osment	Toni Collette	Olivia Williams	Trevor Morgan
401	The Sound of Music	1965	Robert Wise	Julie Andrews	Christopher Plummer	Eleanor Parker	Richard Haydn	Peggy Wood
402	The Sting	1973	George Roy Hill	Paul Newman	Robert Redford	Robert Shaw	Charles Durning	Ray Walston
403	The Terminator	1984	James Cameron	Arnold Schwarzenegger	Michael Biehn	Linda Hamilton	Paul Winfield	Lance Henriksen
404	The Thing	1982	John Carpenter	Kurt Russell	Wilford Brimley	T.K. Carter	David Clennon	Keith David
405	The Third Man	1949	Carol Reed	Joseph Cotten	Alida Valli	Orson Welles	Trevor Howard	Bernard Lee
406	The Treasure of the Sierra Madre	1948	John Huston	Humphrey Bogart	Walter Huston	Tim Holt	Bruce Bennett	Barton MacLane
407	The Truman Show	1998	Peter Weir	Jim Carrey	Laura Linney	Noah Emmerich	Natascha McElhone	Holland Taylor
408	The Twilight Saga: Breaking Dawn - Part 1	2011	Bill Condon	Taylor Lautner	Gil Birmingham	Billy Burke	Sarah Clarke	Ty Olsson
409	The Twilight Saga: Breaking Dawn - Part 2	2012	Bill Condon	Kristen Stewart	Robert Pattinson	Taylor Lautner	Peter Facinelli	Elizabeth Reaser
410	The Twilight Saga: Eclipse	2010	David Slade	Xavier Samuel	Kristen Stewart	Robert Pattinson	Billy Burke	Justin Chon
411	The Twilight Saga: New Moon	2009	Chris Weitz	Kristen Stewart	Christina Jastrzembska	Robert Pattinson	Billy Burke	Anna Kendrick
412	The Usual Suspects	1995	Bryan Singer	Stephen Baldwin	Gabriel Byrne	Benicio Del Toro	Kevin Pollak	Kevin Spacey
413	The Waterboy	1998	Frank Coraci	Adam Sandler	Kathy Bates	Henry Winkler	Fairuza Balk	Jerry Reed
414	The Wild Bunch	1969	Sam Peckinpah	William Holden	Ernest Borgnine	Robert Ryan	Edmond O'Brien	Warren Oates
415	The Wizard of Oz	1939	Victor Fleming	Judy Garland	Frank Morgan	Ray Bolger	Bert Lahr	Jack Haley
416	There Will Be Blood	2007	Paul Thomas Anderson	Daniel Day-Lewis	Martin Stringer	Matthew Braden Stringer	Jacob Stringer	Joseph Mussey
417	There's Something About Mary	1998	Bobby Farrelly	Cameron Diaz	Matt Dillon	Ben Stiller	Lee Evans	Chris Elliott
418	Thor	2011	Kenneth Branagh	Chris Hemsworth	Natalie Portman	Tom Hiddleston	Anthony Hopkins	Stellan Skarsgård
419	Three Colors: Red	1994	Krzysztof Kieslowski	Irène Jacob	Jean-Louis Trintignant	Frédérique Feder	Jean-Pierre Lorit	Samuel Le Bihan
420	Titanic	1997	James Cameron	Leonardo DiCaprio	Kate Winslet	Billy Zane	Kathy Bates	Frances Fisher
421	To Kill a Mockingbird	1962	Robert Mulligan	Gregory Peck	John Megna	Frank Overton	Rosemary Murphy	Ruth White
422	Tootsie	1982	Sydney Pollack	Dustin Hoffman	Jessica Lange	Teri Garr	Dabney Coleman	Charles Durning
